"CONTROL_NUMBER","DONATED","DONATION_AMT","DONOR_AGE","URBANICITY","DONOR_GENDER","HOME_OWNER","INCOME_LEVEL","SES","MEDIAN_HOME_VALUE","MEDIAN_HOUSEHOLD_INCOME","DONATION_RESPONSE","MONTHS_SINCE_LAST_GIFT","EMAILS_12","LIFETIME_GIFT_COUNT","LIFETIME_EMAILS","LIFETIME_GIFT_AMOUNT","LIFETIME_MAX_GIFT_AMT","LIFETIME_MIN_GIFT_AMT","LIFETIME_AVG_GIFT_AMT"
39657,FALSE,NA,70,"S","U","U",4,"16",462000,235000,1,25,15,4,16,5000,1500,1000,1250
39659,TRUE,2000,43,"S","M","U",4,"21",897000,208000,1,19,19,12,19,14800,1500,1000,1233
39660,FALSE,NA,64,"C","M","H",7,"31",636000,309000,0,19,18,5,15,4000,1000,500,800
39665,FALSE,NA,73,"S","M","H",3,"21",626000,314000,31,18,21,11,25,31700,3900,2000,2882
39667,TRUE,1500,75,"S","M","H",7,"18",809000,358000,2,20,19,7,24,9600,1600,1000,1371
39690,FALSE,NA,36,"S","M","U",3,"17",724000,244000,0,16,21,7,18,10300,1800,1000,1471
39695,FALSE,NA,60,"S","M","U",NA,"17",874000,399000,0,17,21,15,27,16700,2500,300,1113
39701,FALSE,NA,NA,"C","F","U",NA,"29",835000,242000,0,18,19,7,28,12400,2500,500,1771
39712,FALSE,NA,NA,"T","F","U",NA,"34",1697000,471000,0,20,11,1,4,1500,1500,1500,1500
39717,FALSE,NA,39,"T","F","H",6,"35",1513000,501000,0,18,19,4,14,5500,2000,500,1375
39721,FALSE,NA,72,"T","F","H",5,"34",1814000,814000,0,17,21,5,15,6200,1800,500,1240
39753,FALSE,NA,51,"S","F","H",4,"16",1023000,371000,0,18,19,12,22,14400,2000,500,1200
39761,FALSE,NA,81,"S","M","H",5,"13",2547000,607000,17,23,17,6,12,6300,1500,600,1050
39765,FALSE,NA,81,"S","M","H",1,"16",895000,306000,6,18,16,1,6,5000,5000,5000,5000
39770,TRUE,2000,NA,"S","F","U",5,"12",1342000,552000,1,20,18,5,14,5500,2000,500,1100
39795,FALSE,NA,66,"T","M","N",3,"34",657000,431000,0,22,15,2,10,2500,1500,1000,1250
39797,FALSE,NA,73,"T","F","N",2,"41",508000,212000,0,18,16,3,13,4400,1800,1000,1467
39805,FALSE,NA,39,"C","F","H",7,"23",4012000,488000,7,18,20,6,11,4700,1500,500,783
39808,FALSE,NA,NA,"C","F","H",2,"26",1304000,222000,7,18,19,4,11,4000,1000,1000,1000
39815,FALSE,NA,57,"C","F","H",7,"23",2320000,471000,6,16,20,7,24,26200,5000,2500,3743
39816,FALSE,NA,72,"S","F","U",NA,"20",987000,324000,0,26,7,4,8,5900,3000,500,1475
39819,FALSE,NA,69,"S","F","H",5,"20",987000,324000,4,18,21,9,28,14600,2100,1000,1622
39826,FALSE,NA,81,"S","M","H",7,"13",1405000,471000,0,17,19,12,34,22700,2600,500,1892
39862,FALSE,NA,63,"C","F","H",7,"29",1292000,394000,1,16,17,1,6,5000,5000,5000,5000
39869,TRUE,2100,NA,"S","F","U",NA,"20",2171000,545000,0,16,19,2,7,3000,2000,1000,1500
39881,FALSE,NA,79,"S","F","U",1,"13",1770000,599000,12,24,19,3,10,4900,1700,1500,1633
39885,FALSE,NA,27,"S","U","H",7,"20",956000,346000,49,18,13,6,10,5600,1200,500,933
39913,FALSE,NA,NA,"C","M","H",1,"29",1386000,228000,6,17,22,9,14,6700,1000,500,744
39918,FALSE,NA,NA,"C","F","H",1,"29",1386000,228000,0,18,19,7,23,14400,5000,300,2057
39920,FALSE,NA,45,"S","M","H",7,"18",1150000,449000,0,20,14,5,17,4900,1500,300,980
39924,FALSE,NA,85,"C","M","H",2,"29",1386000,228000,0,26,13,12,27,14700,2500,500,1225
39931,FALSE,NA,57,"C","F","H",5,"23",4063000,647000,0,17,19,2,9,5000,2500,2500,2500
39935,TRUE,400,37,"C","M","U",4,"33",1464000,305000,0,21,17,8,12,3200,500,300,400
39940,FALSE,NA,38,"S","M","H",7,"21",602000,239000,5,16,17,5,16,5100,1500,500,1020
39963,FALSE,NA,77,"C","M","U",1,"28",1289000,394000,0,16,17,1,6,2000,2000,2000,2000
39967,TRUE,7500,67,"C","M","U",5,"28",1289000,394000,0,24,17,1,9,5000,5000,5000,5000
39972,FALSE,NA,35,"S","F","N",2,"17",856000,313000,0,26,13,2,13,3200,1700,1500,1600
40005,FALSE,NA,36,"S","F","H",6,"16",1192000,407000,33,25,17,5,18,7800,2100,1000,1560
40006,FALSE,NA,40,"C","M","U",NA,"23",1237000,393000,0,16,20,16,19,8500,1000,500,531
40012,FALSE,NA,85,"C","M","H",4,"23",1237000,393000,9,19,19,11,25,16600,2000,500,1509
40013,FALSE,NA,85,"C","M","H",1,"23",1237000,393000,1,18,17,10,22,7300,1500,500,730
40039,FALSE,NA,35,"U","F","U",4,"9",869000,255000,12,20,11,1,5,1500,1500,1500,1500
40052,FALSE,NA,51,"U","F","H",6,"9",869000,255000,1,18,20,13,23,16700,2700,500,1285
40055,TRUE,2500,81,"C","F","U",NA,"26",1187000,4e+05,0,15,19,9,23,16100,2100,1000,1789
40058,TRUE,2500,87,"C","F","H",2,"26",1187000,4e+05,23,25,17,12,30,14000,2000,500,1167
40084,FALSE,NA,82,"C","M","H",3,"29",920000,221000,9,18,19,10,26,8800,1400,500,880
40096,FALSE,NA,75,"C","F","H",1,"30",663000,197000,5,16,16,2,7,2600,1600,1000,1300
40105,TRUE,2300,51,"S","F","H",4,"21",7e+05,228000,0,17,19,9,21,13500,2500,500,1500
40113,FALSE,NA,81,"C","U","H",6,"23",1373000,419000,0,15,18,2,6,3500,2500,1000,1750
40122,FALSE,NA,74,"C","M","H",4,"29",1223000,443000,8,16,19,6,14,3900,1100,300,650
40130,FALSE,NA,53,"C","U","H",5,"28",720000,364000,0,17,19,6,15,6600,1500,500,1100
40138,FALSE,NA,37,"C","M","H",4,"33",594000,254000,6,18,19,7,23,9700,2000,500,1386
40154,FALSE,NA,NA,"C","F","U",NA,"33",364000,162000,0,16,16,3,10,3000,2400,100,1000
40180,FALSE,NA,NA,"T","M","U",NA,"36",849000,253000,0,20,20,18,32,23770,2500,1000,1321
40193,FALSE,NA,38,"C","M","H",4,"27",996000,352000,4,22,14,3,9,3100,1500,500,1033
40212,FALSE,NA,51,"C","M","H",4,"30",627000,152000,0,20,14,1,5,2000,2000,2000,2000
40223,FALSE,NA,77,"C","F","H",1,"26",844000,271000,6,19,18,5,14,4200,1600,500,840
40224,FALSE,NA,45,"C","M","H",7,"28",1117000,371000,0,18,19,3,13,4000,2500,500,1333
40232,FALSE,NA,79,"C","M","H",4,"33",693000,215000,1,18,19,12,23,16000,2500,500,1333
40234,FALSE,NA,51,"C","F","U",NA,"33",699000,258000,0,21,15,14,21,9400,1000,300,671
40276,FALSE,NA,54,"C","F","H",4,"26",747000,266000,20,15,21,22,26,10200,600,300,464
40283,TRUE,2500,42,"C","F","H",5,"27",801000,301000,2,18,19,15,33,22800,5000,200,1520
40285,FALSE,NA,71,"C","F","N",2,"25",663000,239000,18,24,13,11,30,12900,1500,1000,1173
40313,FALSE,NA,71,"C","U","U",NA,"27",736000,273000,0,17,21,7,23,11100,3500,500,1586
40317,FALSE,NA,17,"C","F","U",NA,"23",2322000,732000,0,26,15,15,28,10200,1100,300,680
40329,FALSE,NA,66,"S","F","H",5,"18",908000,415000,6,20,11,1,4,1500,1500,1500,1500
40335,FALSE,NA,NA,"C","F","U",2,"30",533000,210000,0,19,20,5,10,3500,1000,625,700
40338,TRUE,2100,28,"S","F","U",NA,"18",902000,410000,0,26,15,5,15,6200,2000,500,1240
40341,TRUE,1500,73,"S","F","H",5,"18",902000,410000,1,17,19,8,16,8000,1600,500,1000
40344,FALSE,NA,51,"S","F","H",5,"18",945000,438000,13,26,13,3,18,7000,2500,2000,2333
40350,FALSE,NA,84,"C","M","U",NA,"30",715000,272000,0,15,17,17,25,7400,500,200,435
40351,TRUE,3000,NA,"S","U","U",NA,"18",1074000,505000,0,17,21,5,21,14000,3000,2500,2800
40379,TRUE,600,36,"T","M","H",6,"35",2357000,523000,1,16,20,8,17,4300,1000,300,538
40381,FALSE,NA,65,"C","F","H",2,"28",926000,318000,20,16,20,9,18,7400,1000,500,822
40383,FALSE,NA,84,"C","F","N",1,"29",724000,286000,0,15,18,8,17,5100,1000,500,638
40388,FALSE,NA,43,"T","M","H",5,"40",1071000,410000,12,22,18,9,22,8800,1500,300,978
40396,FALSE,NA,72,"T","M","H",4,"40",1071000,410000,31,21,15,20,31,10400,1000,300,520
40407,TRUE,1000,74,"C","M","N",1,"31",1785000,692000,0,19,21,11,25,12700,1700,300,1155
40421,TRUE,500,58,"C","M","H",7,"24",1270000,363000,6,18,20,26,22,16300,2400,300,627
40425,FALSE,NA,NA,"C","M","U",NA,"23",2618000,497000,0,17,20,10,20,9800,1800,500,980
40452,FALSE,NA,44,"C","F","H",6,"22",1310000,414000,1,18,18,3,12,3600,2000,500,1200
40465,FALSE,NA,47,"T","U","H",7,"35",1396000,518000,6,20,17,8,22,10100,2000,500,1263
40470,FALSE,NA,43,"T","F","H",6,"35",1396000,518000,9,26,13,15,29,10500,1200,500,700
40501,FALSE,NA,67,"S","M","H",6,"13",3250000,531000,1,17,14,1,5,2000,2000,2000,2000
40516,TRUE,2100,82,"C","F","U",7,"23",1938000,483000,0,15,17,6,20,7400,1700,500,1233
40520,TRUE,1000,86,"S","F","H",6,"13",965000,356000,0,18,19,13,25,12400,1200,200,954
40543,FALSE,NA,81,"C","M","N",1,"29",1291000,349000,16,17,17,24,27,8800,600,300,367
40565,FALSE,NA,49,"S","M","H",4,"11",1793000,383000,2,20,18,6,15,4500,1500,300,750
40566,TRUE,1700,56,"S","F","U",4,"17",1530000,442000,5,18,20,7,13,7600,2000,300,1086
40576,FALSE,NA,63,"S","F","H",7,"14",2260000,649000,0,19,19,7,22,11600,2500,1000,1657
40579,FALSE,NA,87,"C","F","H",5,"23",1604000,462000,0,18,21,21,27,12500,1500,200,595
40585,FALSE,NA,80,"S","F","N",1,"17",1149000,410000,5,21,17,17,29,12400,1300,500,729
40596,FALSE,NA,71,"S","F","H",7,"13",1701000,693000,0,15,21,10,21,13800,2000,500,1380
40605,TRUE,500,65,"C","F","H",4,"23",549000,212000,0,15,16,13,25,6400,600,300,492
40615,FALSE,NA,NA,"S","M","U",NA,"13",4495000,685000,0,17,19,3,12,5500,2500,1000,1833
40616,FALSE,NA,NA,"C","F","U",NA,"28",670000,317000,0,18,20,3,10,4500,2500,1000,1500
40625,FALSE,NA,54,"T","M","U",NA,"39",698000,354000,0,21,19,12,28,23900,2900,500,1992
40637,TRUE,2000,65,"C","F","H",4,"31",842000,371000,0,22,19,20,30,25000,2400,300,1250
40655,TRUE,2000,61,"C","M","H",2,"26",810000,295000,14,18,19,9,20,9900,2000,500,1100
40659,FALSE,NA,78,"C","M","H",4,"27",672000,276000,14,16,19,7,21,7900,1500,600,1129
40664,FALSE,NA,79,"C","F","H",6,"24",838000,466000,26,25,17,11,32,12925,2100,325,1175
40691,FALSE,NA,70,"C","F","U",5,"25",906000,296000,0,15,15,16,23,13200,1300,400,825
40699,FALSE,NA,68,"C","F","H",5,"24",858000,423000,1,18,19,7,22,7400,2000,500,1057
40716,FALSE,NA,47,"R","F","H",7,"53",397000,2e+05,0,25,17,15,26,20300,1800,500,1353
40738,FALSE,NA,61,"C","F","U",NA,"28",583000,223000,0,20,20,5,19,7100,3000,500,1420
40748,FALSE,NA,51,"R","F","H",2,"52",475000,213000,0,20,12,1,5,1500,1500,1500,1500
40757,FALSE,NA,85,"C","M","N",2,"24",835000,367000,0,17,19,4,9,5000,1500,500,1250
40786,TRUE,500,72,"T","M","N",1,"37",1163000,402000,4,18,18,16,22,18200,2000,500,1138
40804,FALSE,NA,72,"T","M","N",3,"37",788000,204000,1,18,19,7,14,4300,1000,200,614
40820,FALSE,NA,70,"T","F","N",2,"41",535000,217000,2,18,20,19,25,14500,1500,500,763
40824,FALSE,NA,NA,"T","F","U",NA,"37",692000,198000,0,21,13,39,26,30208,1200,8,775
40826,FALSE,NA,77,"C","F","N",2,"29",664000,248000,3,16,20,28,32,24800,2000,500,886
40845,FALSE,NA,NA,"T","F","H",4,"40",883000,373000,0,17,14,1,5,2000,2000,2000,2000
40867,FALSE,NA,55,"S","F","H",2,"17",796000,309000,0,16,19,10,19,7800,1200,300,780
40891,FALSE,NA,77,"T","F","H",5,"36",933000,283000,0,25,19,6,21,30000,5000,5000,5000
40918,FALSE,NA,84,"T","M","H",4,"40",891000,375000,0,26,13,12,27,11600,1500,300,967
40919,TRUE,1000,79,"C","U","N",1,"28",772000,312000,22,16,16,12,15,8600,1300,300,717
40921,FALSE,NA,NA,"C","M","U",NA,"24",1088000,314000,0,18,15,2,7,3000,2000,1000,1500
40943,FALSE,NA,70,"T","F","H",5,"35",1372000,646000,1,26,13,2,11,2500,2000,500,1250
40956,TRUE,2500,73,"T","F","U",2,"37",876000,278000,0,15,9,1,3,1500,1500,1500,1500
40968,TRUE,1700,NA,"T","F","U",NA,"40",961000,297000,0,17,19,6,18,8200,2000,1000,1367
40969,FALSE,NA,87,"T","M","U",4,"39",677000,242000,0,16,18,15,19,7600,800,300,507
40977,FALSE,NA,59,"T","F","N",2,"36",7e+05,231000,0,18,19,9,27,10300,2500,500,1144
40981,FALSE,NA,68,"T","M","H",5,"39",675000,248000,6,21,18,8,29,7800,2000,300,975
41000,FALSE,NA,NA,"C","F","U",NA,"29",907000,329000,0,26,18,5,15,9100,3000,1000,1820
41022,FALSE,NA,71,"C","M","U",2,"25",550000,206000,0,16,15,1,5,1500,1500,1500,1500
41032,FALSE,NA,45,"T","F","H",4,"40",760000,416000,17,17,16,5,13,3800,1000,500,760
41057,FALSE,NA,49,"C","M","H",4,"27",703000,383000,0,23,11,1,5,2000,2000,2000,2000
41065,TRUE,1500,63,"C","F","H",2,"30",1569000,673000,0,17,14,2,9,2500,1500,1000,1250
41068,FALSE,NA,NA,"C","M","U",NA,"24",1365000,618000,0,17,19,4,13,4400,1500,500,1100
41072,FALSE,NA,37,"C","M","H",7,"24",1305000,514000,3,16,20,5,15,6700,2000,1000,1340
41078,FALSE,NA,53,"C","F","H",6,"24",891000,440000,4,18,14,3,11,3100,1500,500,1033
41081,FALSE,NA,36,"C","F","H",6,"28",885000,428000,0,21,19,6,20,9000,2000,500,1500
41089,TRUE,500,75,"C","F","U",2,"28",883000,374000,8,19,14,24,24,17000,1100,300,708
41091,TRUE,1000,71,"C","F","H",2,"29",661000,211000,9,18,21,14,28,10100,1000,500,721
41094,FALSE,NA,NA,"C","U","N",3,"30",832000,427000,0,16,19,18,31,21200,2500,500,1178
41103,FALSE,NA,45,"R","M","N",3,"44",956000,348000,10,17,19,6,10,3500,1000,500,583
41112,FALSE,NA,NA,"U","M","U",NA,"8",462000,238000,0,16,18,3,8,4500,1500,1500,1500
41116,FALSE,NA,61,"U","F","H",3,"10",404000,197000,5,16,17,2,11,3000,2000,1000,1500
41136,FALSE,NA,NA,"U","M","U",NA,"10",524000,87000,0,20,14,1,6,2000,2000,2000,2000
41187,TRUE,1500,NA,"U","M","U",NA,"10",514000,222000,0,21,15,2,9,3000,1500,1500,1500
41191,FALSE,NA,84,"S","U","U",NA,"13",1487000,569000,0,24,17,40,34,70400,5000,500,1760
41204,FALSE,NA,NA,"U","F","U",NA,"10",373000,137000,0,16,15,12,24,9200,1000,500,767
41221,FALSE,NA,76,"U","M","H",2,"10",545000,210000,4,17,9,8,12,6700,1500,300,838
41222,TRUE,2000,32,"S","M","U",NA,"21",956000,348000,0,18,19,9,29,10300,2000,500,1144
41242,FALSE,NA,77,"S","F","H",4,"16",556000,246000,0,19,22,23,27,22600,1500,300,983
41243,TRUE,1200,75,"S","F","U",NA,"16",556000,246000,0,20,19,11,26,10800,1500,500,982
41273,FALSE,NA,85,"U","F","U",1,"9",842000,371000,2,26,13,29,26,29000,2000,100,1000
41275,FALSE,NA,42,"U","M","H",2,"5",747000,425000,0,19,19,19,30,6100,500,200,321
41288,TRUE,900,84,"U","M","H",2,"8",466000,271000,4,17,11,11,13,5500,600,200,500
41295,FALSE,NA,59,"U","F","U",3,"8",730000,181000,0,18,16,6,13,2900,1100,100,483
41297,FALSE,NA,58,"U","M","H",4,"9",577000,157000,1,15,17,6,18,5800,1500,500,967
41312,TRUE,2300,67,"U","F","H",4,"9",577000,157000,29,18,21,11,31,12200,3000,300,1109
41318,FALSE,NA,54,"C","F","U",3,"25",550000,206000,11,16,15,1,5,1500,1500,1500,1500
41322,FALSE,NA,79,"C","M","H",6,"33",1258000,514000,0,18,18,4,10,3200,1100,500,800
41325,TRUE,1200,34,"S","F","U",NA,"16",803000,290000,0,18,18,6,11,3400,700,300,567
41332,FALSE,NA,NA,"C","F","U",NA,"25",550000,206000,0,21,18,7,25,11000,2000,1500,1571
41347,FALSE,NA,NA,"S","U","U",NA,"17",609000,315000,0,18,20,4,13,8000,2500,1500,2000
41357,FALSE,NA,38,"S","M","H",4,"21",528000,283000,0,16,17,5,17,5500,1500,500,1100
41376,FALSE,NA,56,"S","U","U",NA,"16",597000,253000,0,17,19,4,11,4900,1500,1000,1225
41384,TRUE,1200,46,"S","F","H",4,"21",556000,318000,0,19,19,14,23,13200,1400,500,943
41396,FALSE,NA,62,"S","F","H",4,"21",607000,267000,20,21,18,6,23,8700,1800,1000,1450
41434,TRUE,500,50,"U","M","H",5,"10",782000,435000,5,17,18,17,29,11200,1200,300,659
41445,TRUE,3500,45,"S","M","H",7,"12",1007000,433000,0,26,13,2,10,3500,2000,1500,1750
41447,FALSE,NA,NA,"S","F","U",NA,"12",1365000,232000,0,19,18,8,15,4900,1000,500,613
41448,TRUE,1500,55,"U","F","U",NA,"3",1503000,396000,0,17,21,7,15,6900,1500,500,986
41463,FALSE,NA,43,"S","F","H",4,"21",325000,281000,0,20,14,1,6,2000,2000,2000,2000
41468,FALSE,NA,71,"T","F","H",1,"41",619000,263000,5,22,18,5,12,4000,1000,500,800
41477,FALSE,NA,81,"S","F","N",2,"21",1430000,509000,7,15,17,17,22,10300,800,300,606
41480,FALSE,NA,62,"S","F","H",4,"21",453000,232000,6,22,19,10,27,17300,2500,500,1730
41482,TRUE,500,72,"C","F","H",1,"30",513000,210000,4,18,17,17,28,5800,500,100,341
41488,FALSE,NA,42,"S","F","H",4,"15",1892000,398000,1,19,18,2,10,2600,2100,500,1300
41494,FALSE,NA,49,"S","M","U",4,"11",1021000,298000,22,15,18,2,6,3500,2500,1000,1750
41512,FALSE,NA,34,"S","F","H",6,"12",906000,468000,2,19,20,8,19,14100,2500,1000,1763
41537,TRUE,5000,36,"S","F","U",NA,"18",742000,396000,0,17,19,7,15,10000,2000,500,1429
41539,FALSE,NA,60,"S","F","H",7,"18",726000,389000,5,21,18,7,18,8700,2000,500,1243
41545,TRUE,500,NA,"S","M","U",NA,"18",658000,373000,0,15,18,19,25,11000,700,400,579
41569,TRUE,1800,72,"U","F","H",5,"3",1079000,347000,7,17,21,6,18,6000,1800,500,1000
41575,FALSE,NA,86,"U","U","U",NA,"2",738000,262000,0,17,20,11,26,11000,1000,1000,1000
41588,FALSE,NA,66,"S","F","H",3,"18",605000,310000,0,18,21,8,21,8000,2000,500,1000
41604,TRUE,1000,73,"S","F","H",2,"12",919000,413000,10,17,12,13,15,10800,1200,500,831
41614,FALSE,NA,36,"S","M","H",5,"17",609000,315000,0,21,19,6,22,9700,2000,1000,1617
41639,FALSE,NA,78,"?","F","H",2,".",0,0,0,15,20,5,13,3700,1000,500,740
41643,FALSE,NA,33,"S","M","U",1,"21",1206000,427000,0,18,14,1,5,2000,2000,2000,2000
41661,FALSE,NA,NA,"S","F","U",NA,"16",576000,302000,0,15,17,2,7,2000,1500,500,1000
41666,TRUE,500,52,"S","F","H",7,"13",1495000,379000,1,22,18,5,13,5700,1300,1000,1140
41677,FALSE,NA,78,"C","F","N",1,"31",571000,210000,28,15,19,17,23,8000,1000,200,471
41683,FALSE,NA,NA,"C","U","U",NA,"31",571000,210000,0,21,20,8,22,14700,2500,1000,1838
41691,FALSE,NA,50,"S","F","H",4,"16",593000,223000,0,15,19,23,33,12600,1000,200,548
41699,FALSE,NA,7,"S","M","U",1,"20",613000,292000,2,18,20,17,32,20500,2500,300,1206
41705,FALSE,NA,49,"S","U","H",4,"16",559000,250000,10,24,13,1,7,2500,2500,2500,2500
41707,FALSE,NA,71,"S","M","H",4,"16",559000,250000,1,26,16,3,12,6000,2000,2000,2000
41715,TRUE,300,NA,"U","U","U",NA,"9",696000,272000,0,18,18,10,15,3300,500,200,330
41731,FALSE,NA,65,"U","F","N",2,"5",598000,213000,0,18,19,4,9,4000,1500,500,1000
41764,FALSE,NA,59,"U","F","H",4,"5",695000,325000,0,23,7,13,21,10300,1300,300,792
41767,FALSE,NA,37,"U","M","H",3,"4",756000,267000,0,26,14,10,24,9900,1500,200,990
41783,FALSE,NA,35,"C","F","N",3,"23",1301000,354000,0,17,18,6,12,4500,1000,500,750
41785,TRUE,1700,69,"C","F","H",7,"23",972000,316000,8,16,20,10,20,11200,2000,500,1120
41796,FALSE,NA,67,"C","F","N",1,"23",1518000,485000,1,16,19,17,26,6100,700,200,359
41806,FALSE,NA,NA,"U","U","U",2,"8",622000,236000,0,15,12,1,3,7500,7500,7500,7500
41815,FALSE,NA,74,"U","M","H",2,"10",496000,167000,7,20,18,4,14,5200,1500,1000,1300
41819,TRUE,1500,49,"U","M","H",2,"10",467000,192000,0,20,14,2,7,2000,1500,500,1000
41834,FALSE,NA,7,"C","M","U",NA,"29",593000,228000,0,26,13,35,32,23600,1000,300,674
41839,FALSE,NA,87,"U","F","N",2,"10",593000,228000,14,18,13,22,28,14000,1000,500,636
41863,FALSE,NA,85,"C","U","U",NA,"29",1114000,288000,0,22,19,18,25,24100,1800,500,1339
41899,TRUE,1000,NA,"U","M","U",NA,"8",618000,223000,0,24,17,13,24,10200,1000,500,785
41901,TRUE,10000,41,"U","U","N",3,"8",380000,329000,0,15,22,9,25,23800,3200,2000,2644
41905,TRUE,1500,NA,"U","F","U",NA,"10",469000,133000,0,18,19,20,28,13200,1000,500,660
41913,FALSE,NA,75,"U","F","U",NA,"10",0,0,0,16,20,25,28,11500,900,300,460
41920,TRUE,1500,55,"U","M","H",7,"10",467000,192000,0,20,14,1,5,1500,1500,1500,1500
41921,FALSE,NA,69,"U","F","H",3,"5",608000,297000,0,17,19,2,7,5000,2500,2500,2500
41922,FALSE,NA,NA,"U","U","U",NA,"5",598000,213000,0,16,20,2,7,11000,6000,5000,5500
41931,FALSE,NA,80,"T","F","H",4,"38",731000,365000,1,17,21,10,17,9700,1200,500,970
41932,FALSE,NA,85,"U","F","N",1,"5",637000,312000,0,18,20,11,18,5500,700,300,500
41936,TRUE,1300,NA,"U","U","U",NA,"5",1103000,471000,0,18,14,9,13,13000,2000,1000,1444
41943,FALSE,NA,48,"U","U","H",2,"5",587000,276000,0,16,20,25,30,17400,1100,500,696
41944,FALSE,NA,NA,"U","F","H",4,"8",1609000,420000,0,17,17,43,30,31300,1800,400,728
41953,FALSE,NA,NA,"U","M","N",3,"9",1792000,302000,0,15,18,2,6,4000,2000,2000,2000
41966,FALSE,NA,NA,"C","M","H",1,"26",0,344000,0,22,18,9,27,10000,2000,200,1111
41981,FALSE,NA,36,"C","F","U",5,"23",1094000,358000,5,18,20,17,33,14900,1500,300,876
41986,FALSE,NA,37,"U","F","H",2,"8",538000,230000,2,16,17,1,6,5000,5000,5000,5000
42005,FALSE,NA,81,"U","F","H",6,"8",513000,213000,7,17,18,12,27,7300,1000,200,608
42007,FALSE,NA,82,"U","F","H",2,"8",446000,255000,0,18,15,17,29,11500,1200,200,676
42021,FALSE,NA,39,"U","M","N",2,"10",429000,125000,0,20,15,2,7,2500,2000,500,1250
42024,FALSE,NA,48,"U","M","N",3,"10",448000,152000,1,18,19,27,27,16500,2000,300,611
42033,FALSE,NA,69,"U","M","H",1,"10",522000,208000,26,22,19,25,32,24300,2000,300,972
42055,FALSE,NA,NA,"U","F","U",NA,"7",690000,268000,0,26,13,5,18,7600,2000,1000,1520
42068,TRUE,1000,79,"T","F","N",2,"37",645000,199000,23,15,19,8,15,6950,1500,500,869
42096,TRUE,2000,NA,"C","F","U",2,"30",355000,208000,7,20,14,1,6,2000,2000,2000,2000
42146,FALSE,NA,NA,"T","F","U",NA,"39",581000,270000,0,16,15,1,5,1500,1500,1500,1500
42154,FALSE,NA,54,"T","F","H",6,"40",1177000,544000,5,16,17,3,12,4400,1800,1000,1467
42157,FALSE,NA,32,"T","F","U",NA,"39",690000,332000,0,20,14,2,9,3000,2000,1000,1500
42165,TRUE,1000,NA,"T","M","U",NA,"40",734000,310000,0,18,19,6,20,9900,2000,1000,1650
42176,TRUE,1000,83,"C","F","H",2,"26",759000,299000,5,16,11,20,22,12200,1000,500,610
42206,FALSE,NA,38,"T","F","H",6,"40",810000,383000,9,17,19,8,20,7500,1500,300,938
42214,FALSE,NA,60,"C","F","H",7,"24",1023000,533000,0,21,10,13,20,18900,2100,500,1454
42229,FALSE,NA,NA,"R","M","U",NA,"50",417000,183000,0,16,19,17,24,17400,1500,500,1024
42234,FALSE,NA,36,"T","U","U",NA,"36",423000,282000,0,22,18,17,31,15600,1300,500,918
42238,FALSE,NA,NA,"R","U","U",NA,"50",989000,217000,0,18,19,20,25,45600,5500,400,2280
42262,FALSE,NA,55,"T","M","H",5,"35",945000,438000,17,19,19,13,26,11100,1500,300,854
42279,TRUE,500,64,"T","F","N",1,"41",4e+05,216000,2,18,18,10,16,5600,800,300,560
42291,TRUE,1500,NA,"R","M","U",NA,"48",568000,221000,0,19,19,19,32,20000,1600,500,1053
42292,FALSE,NA,75,"T","M","H",7,"37",870000,498000,8,17,18,26,32,12000,1000,200,462
42319,FALSE,NA,78,"R","F","N",2,"53",383000,220000,0,15,21,27,32,35000,2000,500,1296
42336,FALSE,NA,48,"T","F","U",NA,"36",635000,225000,0,17,16,15,28,7825,900,200,522
42337,FALSE,NA,NA,"T","U","U",NA,"37",573000,268000,0,20,19,2,10,2000,1500,500,1000
42342,FALSE,NA,NA,"T","F","N",3,"37",469000,187000,8,14,19,19,27,11100,900,0,584
42344,FALSE,NA,37,"C","F","H",2,"30",608000,219000,0,20,18,4,14,4200,1600,500,1050
42348,FALSE,NA,37,"C","F","U",2,"30",498000,207000,0,21,16,24,26,6500,1000,100,271
42351,FALSE,NA,49,"T","F","U",4,"36",489000,263000,0,15,19,12,23,14300,2000,500,1192
42377,FALSE,NA,61,"T","F","N",3,"36",563000,115000,16,20,19,8,18,9400,1600,500,1175
42378,FALSE,NA,69,"T","M","U",2,"37",671000,218000,6,16,23,9,19,9400,1500,500,1044
42382,FALSE,NA,65,"R","M","U",2,"46",1171000,271000,1,18,19,8,20,6000,1700,300,750
42394,FALSE,NA,25,"C","F","H",2,"25",785000,273000,0,18,18,8,13,4600,700,500,575
42399,FALSE,NA,63,"R","F","U",2,"42",938000,309000,1,17,16,1,6,2500,2500,2500,2500
42417,FALSE,NA,43,"R","M","N",2,"48",648000,241000,12,20,19,12,27,12300,1600,500,1025
42419,TRUE,2300,82,"R","M","H",4,"53",517000,194000,1,18,19,14,32,13000,2300,500,929
42424,FALSE,NA,17,"R","M","H",2,"48",583000,208000,0,20,18,2,9,2500,1500,1000,1250
42443,FALSE,NA,NA,"R","F","N",1,"43",750000,258000,0,18,19,9,21,17000,3000,1000,1889
42444,FALSE,NA,69,"R","M","N",1,"49",648000,273000,5,18,19,27,23,14800,1200,300,548
42445,FALSE,NA,75,"C","F","U",NA,"28",614000,272000,0,17,19,15,24,16900,1600,500,1127
